순위,관광지명,상세주소,중분류 카테고리,소분류 카테고리
"70","화양구곡","충북 괴산군 청천면 화양리","자연관광지","폭포/계곡"
"71","미동산수목원","충북 청주시 상당구 미원면 미원리 20","자연관광지","자연휴양림"
"72","보탑사","충북 진천군 진천읍 연곡리 483","역사관광지","문화유적지"
"73","경찰청제천수련원","충북 제천시 청풍면 학현리 18-90","레포츠(육상/해상/항공)","수련장"
"74","오창에딘버러CC","충북 청주시 청원구 오창읍 양청리 11","레포츠(육상/해상/항공)","골프장"
"75","대호단양CC","충북 단양군 매포읍 고양리 300-1","레포츠(육상/해상/항공)","골프장"
"76","좌구산자연휴양림","충북 증평군 증평읍 율리 61-1","자연관광지","자연휴양림"
"77","충주호선착장","충북 충주시 동량면 화암리 11-1","자연관광지","항구"
"78","음성축산물공판장","충북 음성군 삼성면 상곡리 781","쇼핑","농수축산물시장"
"79","청주동물원","충북 청주시 상당구 명암동 40","휴양관광지","동식물원"
"80","충주호유람선장회나루선착장","충북 단양군 단성면 장회리 90-3","자연관광지","항구"
"81","충주역","충북 충주시 봉방동 409","기타관광지","기차역"
"82","수생식물학습원","충북 옥천군 군북면 대정리 100-10","휴양관광지","동식물원"
"83","육거리종합시장","충북 청주시 상당구 석교동 126-38","쇼핑","종합시장"
"84","월류봉","충북 영동군 황간면 원촌리","자연관광지","명산"
"85","CGV 충북혁신","충북 음성군 맹동면 동성리 500","공연/행사","극장"
"86","무학시장","충북 충주시 봉방동 8-52","쇼핑","재래시장"
"87","청풍문화재단지","충북 제천시 청풍면 물태리 6-20","기타관광지","관광단지"
"88","청주역","충북 청주시 흥덕구 정봉동 182-1","기타관광지","기차역"
"89","보발재전망대","충북 단양군 가곡면 보발리 14-6","기타관광지","전망대"
"90","천룡CC퍼블릭","충북 진천군 이월면 신계리 57-11","레포츠(육상/해상/항공)","골프장"
"91","다이소 청주산남2호점","충북 청주시 서원구 산남동 334","쇼핑","쇼핑기타"
"92","오송자동차극장","충북 청주시 흥덕구 오송읍 서평리 600-1","공연/행사","자동차극장"
"93","말티재전망대","충북 보은군 속리산면 갈목리 19-3","기타관광지","전망대"
"94","제천시외버스터미널","충북 제천시 의림동 8-21","기타관광지","버스터미널"
"95","청풍랜드","충북 제천시 청풍면 교리 147","레포츠(육상/해상/항공)","번지점프"
"96","CGV 청주지웰시티","충북 청주시 흥덕구 복대동 288-14","공연/행사","극장"
"97","옥천역","충북 옥천군 옥천읍 금구리 112-1","기타관광지","기차역"
"98","은행나무길","충북 괴산군 문광면 양곡리","기타관광지","관광명소기타"
"99","CGV 청주성안길","충북 청주시 상당구 북문로1가 170-1","공연/행사","극장"
"100","삼탄유원지","충북 충주시 산척면 명서리 488","휴양관광지","유원지"
